浙江频道 2026/04/10 更新,#genre#
CHC影迷电影,http://39.77.25.187:4002/rtp/239.253.254.154:8000
CHC家庭影院,http://39.77.25.187:4002/rtp/239.253.254.152:8000
湖南卫视,http://39.77.25.187:4002/rtp/239.253.254.82:8000
江苏卫视,http://39.77.25.187:4002/rtp/239.253.254.83:8000
湖北卫视,http://39.77.25.187:4002/rtp/239.253.254.88:8000
浙江卫视,http://39.77.25.187:4002/rtp/239.253.254.84:8000
安徽卫视,http://39.77.25.187:4002/rtp/239.253.254.87:8000
北京卫视,http://39.77.25.187:4002/rtp/239.253.254.85:8000
东方卫视,http://39.77.25.187:4002/rtp/239.253.254.86:8000
东南卫视,http://39.77.25.187:4002/rtp/239.253.254.105:8000
甘肃卫视,http://39.77.25.187:4002/rtp/239.253.254.74:8000
广东卫视,http://39.77.25.187:4002/rtp/239.253.254.90:8000
广西卫视,http://39.77.25.187:4002/rtp/239.253.254.197:8000
贵州卫视,http://39.77.25.187:4002/rtp/239.253.254.113:8000
海南卫视,http://39.77.25.187:4002/rtp/239.253.254.179:8000
河北卫视,http://39.77.25.187:4002/rtp/239.253.254.112:8000
河南卫视,http://39.77.25.187:4002/rtp/239.253.254.190:8000
黑龙江卫视,http://39.77.25.187:4002/rtp/239.253.254.93:8000
吉林卫视,http://39.77.25.187:4002/rtp/239.253.254.173:8000
江西卫视,http://39.77.25.187:4002/rtp/239.253.254.47:8000
重庆卫视,http://39.77.25.187:4002/rtp/239.253.254.38:8000
云南卫视,http://39.77.25.187:4002/rtp/239.253.254.196:8000
辽宁卫视,http://39.77.25.187:4002/rtp/239.253.254.92:8000
青海卫视,http://39.77.25.187:4002/rtp/239.253.254.195:8000
深圳卫视,http://39.77.25.187:4002/rtp/239.253.254.91:8000
四川卫视,http://39.77.25.187:4002/rtp/239.253.254.180:8000
CCTV-1综合,http://39.77.25.187:4002/rtp/239.253.254.89:8000
上海动漫秀场,http://39.77.25.187:4002/rtp/239.253.254.115:8000
上海都市剧场,http://39.77.25.187:4002/rtp/239.253.254.98:8000
上海法治天地,http://39.77.25.187:4002/rtp/239.253.254.96:8000
上海游戏风云,http://39.77.25.187:4002/rtp/239.253.254.95:8000
上海生活时尚,http://39.77.25.187:4002/rtp/239.253.254.99:8000
上海东方财经,http://39.77.25.187:4002/rtp/239.253.254.94:8000
上海金色学堂,http://39.77.25.187:4002/rtp/239.253.254.101:8000
金鹰纪实,http://39.77.25.187:4002/rtp/239.253.254.103:8000
金鹰卡通,http://39.77.25.187:4002/rtp/239.253.254.117:8000
茶频道,http://39.77.25.187:4002/rtp/239.253.254.143:8000
快乐垂钓,http://39.77.25.187:4002/rtp/239.253.254.144:8000
北京卡酷少儿,http://39.77.25.187:4002/rtp/239.253.254.66:8000
河南梨园频道,http://39.77.25.187:4002/rtp/239.253.254.139:8000
河南文物宝库,http://39.77.25.187:4002/rtp/239.253.254.141:8000
河南武术世界,http://39.77.25.187:4002/rtp/239.253.254.140:8000
CETV1,http://39.77.25.187:4002/rtp/239.253.254.110:8000
CETV4,http://39.77.25.187:4002/rtp/239.253.254.116:8000
CGTN英语,http://39.77.25.187:4002/rtp/239.253.254.189:8000
CGTN纪录,http://39.77.25.187:4002/rtp/239.253.254.188:8000
CGTN西班牙语,http://39.77.25.187:4002/rtp/239.253.254.182:8000
CGTN法语,http://39.77.25.187:4002/rtp/239.253.254.183:8000
CGTN阿拉伯语,http://39.77.25.187:4002/rtp/239.253.254.184:8000
CGTN俄语,http://39.77.25.187:4002/rtp/239.253.254.185:8000
魅力足球,http://39.77.25.187:4002/rtp/239.253.254.100:8000
中国交通,http://39.77.25.187:4002/rtp/239.253.254.177:8000
精彩影视,http://39.77.25.187:4002/rtp/239.253.254.142:8000
青岛李沧,http://39.77.25.187:4002/rtp/239.253.254.253:8000
山东联通-组播3,#genre#
重庆联通-组播1,#genre#
重庆联通-组播2,#genre#
重庆联通-组播3,#genre#
黑龙江联通-组播1,#genre#
黑龙江联通-组播2,#genre#
黑龙江联通-组播3,#genre#
辽宁联通-组播1,#genre#
辽宁联通-组播2,#genre#
辽宁联通-组播3,#genre#
甘肃电信-组播1,#genre#
甘肃电信-组播2,#genre#
甘肃电信-组播3,#genre#
新疆电信-组播1,#genre#
新疆电信-组播2,#genre#
新疆电信-组播3,#genre#
宁夏电信-组播1,#genre#
宁夏电信-组播2,#genre#
宁夏电信-组播3,#genre#
